1234,8585664102091,123,04/2023,00/43
666,8585664102091,123,09/2023,123123/2023
999,8585664102091,23,01/2021,00/00
123,8585664102091,123,2222,00/12
123123,234214,123,11/12,00/00
123123,234214,123,11/12,00/00
123123,234214,123,11/12,00/00
123123,234214,123,11/12,00/00
123123,234214,123,11/12,00/00
123123,234214,123,11/12,00/00
123123,234214,123,11/12,00/00
5454,752386234,444,12/09,00/79
5454,752386234,444,12/09,00/00
5454,752386234,444,12/09,00/00
5454,752386234,444,12/09,00/00
5454,752386234,444,12/09,00/00
5454,752386234,444,12/09,00/00
